SchoolID,School,District
250,Buckingham Elementary School,Bend-LaPine Administrative SD 1
837,Buckman Elementary School,Portland SD 1J
1241,Buena Vista Elementary School,Eugene SD 4J
429,Buff Intermediate School,Jefferson County SD 509J
3740,Burns Alternative School,Harney County SD 3
359,Burns High School,Harney County SD 3
3347,Burnt River School,Burnt River SD 30J
732,Bush Elementary School,Salem-Keizer SD 24J
3649,Butler Creek Elementary School,Centennial SD 28J
119,Butte Creek Elementary School,Silver Falls SD 4J
406,Butte Falls Charter School,Butte Falls SD 91
1147,Butternut Creek Elementary School,Hillsboro SD 1J
693,Cairo Elementary School,Ontario SD 8C
506,Cal Young Middle School,Eugene SD 4J
632,Calapooia Middle School,Greater Albany Public SD 8J
4739,Camas Ridge Community Elementary ,Eugene SD 4J
3400,Camas Valley School,Camas Valley SD 21J
140,Canby High School,Canby SD 86
733,Candalaria Elementary School,Salem-Keizer SD 24J
106,Candy Lane Elementary School,Oregon City SD 62
289,Canyonville School,South Umpqua SD 19
838,Capitol Hill Elementary School,Portland SD 1J
92,Carus School,Canby SD 86
4475,Cascade Heights Public Charter School,North Clackamas SD 12
810,Cascade Junior High School,Cascade SD 5
3372,Cascade Locks School,Hood River County SD
242,Cascade Middle School,Bend-LaPine Administrative SD 1
581,Cascade Middle School,Bethel SD 52
2322,Cascade Regional Program,Linn Benton Lincoln ESD
811,Cascade Senior High School,Cascade SD 5
652,Cascades School,Lebanon Community SD 9
3582,Catholic Community Services,Salem-Keizer SD 24J
1337,Cecil Sly Elementary School,Crook County SD
1307,Cecile Trost Elementary School,Canby SD 86
1158,Cedar Mill Elementary School,Beaverton SD 48J
1180,Cedar Park Middle School,Beaverton SD 48J
102,Cedar Ridge Middle School,Oregon Trail SD 46
45,Cedaroak Park Primary School,West Linn-Wilsonville SD 3J
676,Centennial Elementary School,Scio SD 95
544,Centennial Elementary School,Springfield SD 19
967,Centennial High School,Centennial SD 28J
960,Centennial Middle School,Centennial SD 28J
1367,Centennial Park School,Centennial SD 28J
3553,Center for Advanced Learning,Gresham-Barlow SD 10J
631,Central Elementary School,Greater Albany Public SD 8J
1066,Central Elementary School,La Grande SD 1
1002,Central High School,Central SD 13J
807,Central Howell Elementary School,Silver Falls SD 4J
1311,Central Linn Elementary School,Central Linn SD 552
687,Central Linn High School,Central Linn SD 552
3554,Central Medford High School,Medford SD 549C
1057,Central Middle School,Milton-Freewater Unified SD 7
4105,Central Oregon Even Start Program,High Desert ESD
2293,Central Oregon Regional Program,High Desert ESD
382,Central Point Elementary School,Central Point SD 6
1368,Century High School,Hillsboro SD 1J
4146,Cesar Chavez Elementary School,Eugene SD 4J
841,Cesar Chavez K-8 School,Portland SD 1J
5064,Cesar E Chavez Elem ,Salem-Keizer SD 24J
839,Chapman Elementary School,Portland SD 1J
1244,Chapman Hill Elementary School,Salem-Keizer SD 24J
1240,Charlemagne at Fox Hollow Elementary School,Eugene SD 4J
1136,Charles F Tigard Elementary School,Tigard-Tualatin SD 23J
1159,Chehalem Elementary School,Beaverton SD 48J
1336,Chehalem Valley Middle School,Newberg SD 29J
28,Cheldelin Middle School,Corvallis SD 509J
1093,Chenowith Elementary School,North Wasco County SD 21
972,Cherry Park Elementary School,David Douglas SD 40
878,Chief Joseph/Ockley Green School,Portland SD 1J
878,Chief Joseph/Ockley Green School,Portland SD 1J
42,Childrens Farm Home,Linn Benton Lincoln ESD
4395,Childs Way Charter School,South Lane SD 45J3
468,Chiloquin Elementary School,Klamath County SD
483,Chiloquin High School,Klamath County SD
540,Churchill High School,Eugene SD 4J
4206,City View Charter School,Hillsboro SD 1J
4802,Clackamas Academy of Industrial Sciences,Oregon City SD 62
1395,Clackamas County Childrens Commission,ODE Head Start
2794,Clackamas County Jail,Oregon City SD 62
3510,Clackamas ESD Prekindergarten,ODE Head Start
85,Clackamas High School,North Clackamas SD 12
4226,Clackamas Middle College,North Clackamas SD 12
131,Clackamas River Elementary School,Estacada SD 108
4689,Clackamas River School,Clackamas ESD
4223,Clackamas Web Academy,North Clackamas SD 12
3373,Claggett Creek Middle School,Salem-Keizer SD 24J
1031,Clara Brownell Middle School,Umatilla SD 6R
93,Clarkes Elementary School,Molalla River SD 35
163,Clatskanie Elementary School,Clatskanie SD 6J
168,Clatskanie Middle/High School,Clatskanie SD 6J
2795,Clatsop County Jail,Astoria SD 1
1312,Clear Creek Middle School,Gresham-Barlow SD 10J
582,Clear Lake Elementary School,Bethel SD 52
734,Clear Lake Elementary School,Salem-Keizer SD 24J
3162,Clemens Primary School,Philomath SD 17J
909,Cleveland High School,Portland SD 1J
633,Clover Ridge Elementary School,Greater Albany Public SD 8J
806,Cloverdale Elementary School,Cascade SD 5
507,Coburg Community Charter School,Eugene SD 4J
291,Coffenberry Middle School,South Umpqua SD 19
2831,COIC Skill Lab,ODE JDEP District
1097,Colonel Wright Elementary School,North Wasco County SD 21
103,Colton Elementary School,Colton SD 53
104,Colton High School,Colton SD 53
1248,Colton Middle School,Colton SD 53
2716,Columbia County Education Campus,St Helens SD 502
2796,Columbia County Jail,St Helens SD 502
2373,Columbia Gorge ESD EI/ECSE-Wasco,David Douglas School District EI/ECSE (Area 6)
2356,Columbia Regional Program,Portland SD 1J
1228,Columbus Elementary School,McMinnville SD 40
2939,Community Action Head Start of Marion & Polk Counties,ODE Head Start
2539,Community Action Head Start of Washington County,ODE Head Start
2517,Community Action Team,ODE Head Start
1305,Community School,Beaverton SD 48J
2525,Community Services Consortium,ODE Head Start
1481,Community Works/Lithia Springs School,Ashland SD 5
325,Condon Elementary School,Condon SD 25J
326,Condon High School,Condon SD 25J
1319,Conestoga Middle School,Beaverton SD 48J
3672,Confederated Tribes of Grand Ronde Community of Oregon,ODE Head Start
3676,Confederated Tribes of the Warm Springs Reservation,ODE Head Start
1160,Cooper Mountain Elementary School,Beaverton SD 48J
2797,Coos County Jail,Coquille SD 8
191,Coquille Junior Senior High,Coquille SD 8
4025,Coquille Valley Elementary,Coquille SD 8
4747,Corbett Charter School,Corbett SD 39
5253,Corbett Enviro-STEM High School,Corbett SD 39
4592,Corbett School,Corbett SD 39
1128,Cornelius Elementary School,Forest Grove SD 15
1242,Corridor Elementary School,Eugene SD 4J
40,Corvallis High School,Corvallis SD 509J
580,Cottage Grove High School,South Lane SD 45J3
3434,Cove Charter School,Cove SD 15
346,Crane Elementary School,Harney County SD 4
358,Crane Union High School,Harney County Union High SD 1J
4557,Crater Academy of Health and Public Services,Central Point SD 6
5251,Crater Lake Charter Academy,Eagle Point SD 9
4561,Crater Renaissance Academy,Central Point SD 6
4559,Crater School of Business Innovation and Science,Central Point SD 6
4640,Creative Science School,Portland SD 1J
41,Crescent Valley High School,Corvallis SD 509J
570,Creslane Elementary School,Creswell SD 40
843,Creston Elementary School,Portland SD 1J
623,Crestview Heights School,Lincoln County SD
572,Creswell High School,Creswell SD 40
571,Creswell Middle School,Creswell SD 40
225,Crook County High School,Crook County SD
2798,Crook County Jail,Crook County SD
224,Crook County Middle School,Crook County SD
219,Crooked River Elementary School,Crook County SD
1329,Crossler Middle School,Salem-Keizer SD 24J
592,Crow Middle/High School,Crow-Applegate-Lorane SD 66
425,Culver Elementary School,Culver SD 4
426,Culver High School,Culver SD 4
1295,Culver Middle School,Culver SD 4
735,Cummings Elementary School,Salem-Keizer SD 24J
2799,Curry County Jail,Central Curry SD 1
1363,da Vinci Middle School,Portland SD 1J
995,Dallas High School,Dallas SD 2
491,Daly Middle School,Lake County SD 7
90,Damascus Middle School,Gresham-Barlow SD 10J
583,Danebo Elementary School,Bethel SD 52
983,David Douglas High School,David Douglas SD 40
949,Davis Elementary School,Reynolds SD 7
3348,Days Creek Charter School,Douglas County SD 15
1211,Dayton Grade School,Dayton SD 8
1212,Dayton High School,Dayton SD 8
1291,Dayton Jr High School,Dayton SD 8
3353,Dayville School,Dayville SD 16J
91,Deep Creek Elementary School,Gresham-Barlow SD 10J
1369,Deer Creek Elementary School,Tigard-Tualatin SD 23J
2800,Deschutes County Justice Center,Bend-LaPine Administrative SD 1
3426,Desert View Elementary School,Hermiston SD 8
3227,Destinations Academy,Coos Bay SD 9
932,Dexter McCarty Middle School,Gresham-Barlow SD 10J
348,Diamond Elementary School,Diamond SD 7
5201,Dillard Alternative High School,Winston-Dillard SD 116
1129,Dilley Elementary School,Forest Grove SD 15
4203,Doernbecher Childrens Hospital (educational program),Multnomah ESD
2848,Donald E Long School,ODE JDEP District
574,Dorena School,South Lane SD 45J3
352,Double O Elementary School,Double O SD 28
2801,Douglas County Jail,Douglas County SD 4
545,Douglas Gardens Elementary School,Springfield SD 19
316,Douglas High School,Winston-Dillard SD 116
350,Drewsey Elementary School,Drewsey SD 13
228,Driftwood Elementary School,Port Orford-Langlois SD 2CJ
1098,Dry Hollow Elementary School,North Wasco County SD 21
3402,Dufur School,Dufur SD 29
1216,Dundee Elementary School,Newberg SD 29J
844,Duniway Elementary School,Portland SD 1J
1315,Duniway Middle School,McMinnville SD 40
2714,Durham Center,Tigard-Tualatin SD 23J
1138,Durham Elementary School,Tigard-Tualatin SD 23J
3493,EAGLE CAP Innovative HS,Baker SD 5J
4850,Eagle Charter School,Oregon Department of Education
130,Eagle Creek Elementary School,Estacada SD 108
397,Eagle Point High School,Eagle Point SD 9
396,Eagle Point Middle School,Eagle Point SD 9
4020,Eagle Rock Elementary School,Eagle Point SD 9
4545,EagleRidge High School,Klamath Falls City Schools
3525,Earl Boyles Elementary,David Douglas SD 40
4589,Early College High School,Salem-Keizer SD 24J
1012,East Elementary School,Tillamook SD 9
933,East Gresham Elementary School,Gresham-Barlow SD 10J
941,East Orient Elementary School,Gresham-Barlow SD 10J
318,East Sutherlin Primary School,Sutherlin SD 130
2519,Eastern Oregon Head Start,ODE Head Start
2371,Eastern Oregon Regional Program,InterMountain ESD
269,Eastwood Elementary School,Douglas County SD 4
1115,Eastwood Elementary School,Hillsboro SD 1J
2319,EC Cares EI/ECSE - Lane,Lane ESD-EI/ECSE (Area 7)
2309,EC Intervention Klamath Falls City SD EI/ECSE - Klamath,Douglas ESD EI/ECSE (Area 3)
3433,Echo School,Echo SD 5
1130,Echo Shaw Elementary School,Forest Grove SD 15
3361,Eddyville Charter School,Lincoln County SD
1774,Edgewood Community Elementary School,Eugene SD 4J
510,Edison Elementary School,Eugene SD 4J
1142,Edward Byrom Elementary School,Tigard-Tualatin SD 23J
1217,Edwards Elementary School,Newberg SD 29J
4730,Edy Ridge Elementary School,Sherwood SD 88J
4005,El Puente,North Clackamas SD 12
1083,Elgin High School,Elgin SD 23
546,Elizabeth Page Elementary School,Springfield SD 19
1308,Elk Meadow Elementary School,Bend-LaPine Administrative SD 1
302,Elkton Charter School,Elkton SD 34
563,Elmira Elementary School,Fern Ridge SD 28J
567,Elmira High School,Fern Ridge SD 28J
1162,Elmonica Elementary School,Beaverton SD 48J
1326,Elton Gregory Middle School,Redmond SD 2J
3991,Emerson School,Portland SD 1J
736,Englewood Elementary School,Salem-Keizer SD 24J
4129,Ensworth Elementary School,Bend-LaPine Administrative SD 1
1090,Enterprise Elementary School,Enterprise SD 21
1091,Enterprise High School,Enterprise SD 21
4505,Eola Hills Charter School,Amity SD 4J
1161,Errol Hassell Elementary School,Beaverton SD 48J
4760,Estacada Early College,Estacada SD 108
135,Estacada High School,Estacada SD 108
134,Estacada Junior High School,Estacada SD 108
4670,Estacada Web Academy,Estacada SD 108
537,Eugene Education Options,Eugene SD 4J
714,Eugene Field Elementary School,Silver Falls SD 4J
4110,Even Start Family Literacy System,South Coast ESD
718,Evergreen Elementary School,Silver Falls SD 4J
443,Evergreen Elementary School,Three Rivers/Josephine County SD
1197,Evergreen Jr High School,Hillsboro SD 1J
1218,Ewing Young Elementary School,Newberg SD 29J
751,Eyre Elementary School,Salem-Keizer SD 24J
584,Fairfield Elementary School,Bethel SD 52
945,Fairview Elementary School,Reynolds SD 7
4848,Falcon Heights Academy,Klamath County SD
1005,Falls City Elementary School,Falls City SD 57
1006,Falls City High School,Falls City SD 57
1339,Family School,Eugene SD 4J
2434,Family Solutions - Ashland,Ashland SD 5
3652,Family Solutions - Central Point,Central Point SD 6
1275,Family Solutions - Grants Pass,Grants Pass SD 7
3653,Family Solutions - Medford,Medford SD 549C
1189,Farmington View Elementary School,Hillsboro SD 1J
847,Faubion Elementary School,Portland SD 1J
1235,Faulconer-Chapman School,Sheridan SD 48J
470,Ferguson Elementary School,Klamath County SD
3986,Fern Hill Elementary School,Forest Grove SD 15
564,Fern Ridge Middle School,Fern Ridge SD 28J
1041,Ferndale Elementary School,Milton-Freewater Unified SD 7
357,Fields Elementary School,South Harney SD 33
1370,Findley Elementary,Beaverton SD 48J
1163,Fir Grove Elementary School,Beaverton SD 48J
270,Fir Grove Elementary School,Douglas County SD 4
101,Firwood Elementary School,Oregon Trail SD 46
1181,Five Oaks Middle School,Beaverton SD 48J
444,Fleming Middle School,Three Rivers/Josephine County SD
981,Floyd Light Middle School,David Douglas SD 40
4595,Forest Grove Community School,Forest Grove SD 15
1134,Forest Grove High School,Forest Grove SD 15
53,Forest Hills Elementary School,Lake Oswego SD 7J
2413,Forest Park Elementary School,Portland SD 1J
3529,Forest Ridge Elementary School,Salem-Keizer SD 24J
1205,Fossil Charter School,Fossil SD 21J
662,Foster Elementary School,Sweet Home SD 55
738,Four Corners Elementary School,Salem-Keizer SD 24J
4040,Four Rivers Community School,Oregon Department of Education
911,Franklin High School,Portland SD 1J
1322,Franklin School,Corvallis SD 509J
4641,Free Orchards Elementary School,Hillsboro SD 1J
1058,Freewater Elementary School,Milton-Freewater Unified SD 7
490,Fremont/Hay Elementary School,Lake County SD 7
1268,French Prairie Middle School,Woodburn SD 103
351,Frenchglen Elementary School,Frenchglen SD 16
445,Fruitdale Elementary School,Three Rivers/Josephine County SD
446,Ft Vannoy Elementary School,Three Rivers/Josephine County SD
271,Fullerton IV Elementary School,Douglas County SD 4
109,Gaffney Lane Elementary School,Oregon City SD 62
115,Gardiner Middle School,Oregon City SD 62
30,Garfield Elementary School,Corvallis SD 509J
1020,Garibaldi Elementary School,Neah-Kah-Nie SD 56
1194,Gaston Elementary School,Gaston SD 511J
1195,Gaston Jr/Sr High School,Gaston SD 511J
1354,Gateways High School,Springfield SD 19
471,Gearhart Elementary School,Klamath County SD
153,Gearhart Elementary School,Seaside SD 10
849,George Middle School,Portland SD 1J
776,Gervais Elementary School,Gervais SD 1
808,Gervais High School,Gervais SD 1
786,Gervais Middle School,Gervais SD 1
973,Gilbert Heights Elementary School,David Douglas SD 40
974,Gilbert Park Elementary School,David Douglas SD 40
472,Gilchrist Elementary School,Klamath County SD
484,Gilchrist Junior/Senior High School,Klamath County SD
513,Gilham Elementary School,Eugene SD 4J
4719,Gladstone Center for Children and Families,Gladstone SD 115
138,Gladstone High School,Gladstone SD 115
850,Glencoe Elementary School,Portland SD 1J
1200,Glencoe High School,Hillsboro SD 1J
307,Glendale Community Charter School,Glendale SD 77
306,Glendale Elementary School,Glendale SD 77
946,Glenfair Elementary School,Reynolds SD 7
282,Glide Elementary School,Glide SD 12
285,Glide High School,Glide SD 12
284,Glide Middle School,Glide SD 12
239,Gold Beach High School,Central Curry SD 1
934,Gordon Russell Middle School,Gresham-Barlow SD 10J
1067,Grande Ronde Child Ctr,La Grande SD 1
2784,Grandhaven Elementary School,McMinnville SD 40
740,Grant Community School,Salem-Keizer SD 24J
2802,Grant County Jail,John Day SD 3
912,Grant High School,Portland SD 1J
331,Grant Union Junior/Senior High School,John Day SD 3
158,Grant Watts Elementary School,Scappoose SD 1J
442,Grants Pass High School,Grants Pass SD 7
852,Gray Middle School,Portland SD 1J
653,Green Acres School,Lebanon Community SD 9
272,Green Elementary School,Douglas County SD 4
1157,Greenway Elementary School,Beaverton SD 48J
1068,Greenwood Elementary School,La Grande SD 1
4601,Gresham Arthur Academy,Gresham-Barlow SD 10J
986,Gresham High School,Gresham-Barlow SD 10J
408,Griffin Creek Elementary School,Medford SD 549C
1152,Groner Elementary School,Hillsboro SD 1J
854,Grout Elementary School,Portland SD 1J
1059,Grove Elementary School,Milton-Freewater Unified SD 7
745,Gubser Elementary School,Salem-Keizer SD 24J
548,Guy Lee Elementary School,Springfield SD 19
4,Haines Elementary School,Baker SD 5J
936,Hall Elementary School,Gresham-Barlow SD 10J
54,Hallinan Elementary School,Lake Oswego SD 7J
3377,Hallman Elementary School,Salem-Keizer SD 24J
658,Hamilton Creek School,Lebanon Community SD 9
549,Hamlin Middle School,Springfield SD 19
3376,Hammond Elementary School,Salem-Keizer SD 24J
387,Hanby Middle School,Central Point SD 6
4763,Happy Valley Elementary School,North Clackamas SD 12
4715,Happy Valley Middle School,North Clackamas SD 12
216,Harbor Lights Middle School,Bandon SD 54
2803,Harney County Jail,Harney County SD 3
2298,Harney ESD EI/ECSE,High Desert ESD EI/ECSE - Deschutes (Area 2)
3362,Harper Charter School,Harper SD 66
659,Harrisburg Elementary School,Harrisburg SD 7J
689,Harrisburg High School,Harrisburg SD 7J
2723,Harrisburg Middle School,Harrisburg SD 7J
576,Harrison Elementary School,South Lane SD 45J3
842,Harrison Park School,Portland SD 1J
4068,Harritt Elementary School,Salem-Keizer SD 24J
947,Hartley Elementary School,Reynolds SD 7
1132,Harvey Clarke Elementary School,Forest Grove SD 15
954,Hauton B Lee Middle School,Reynolds SD 7
663,Hawthorne Elementary School,Sweet Home SD 55
4116,Hawthorne Middle/High School,Pendleton SD 16
755,Hayesville Elementary School,Salem-Keizer SD 24J
855,Hayhurst Elementary School,Portland SD 1J
1300,Hazelbrook Middle School,Tigard-Tualatin SD 23J
1164,Hazeldale Elementary School,Beaverton SD 48J
4198,Head Start of Harney County,ODE Head Start
1528,Head Start of Lane County,ODE Head Start
2541,Head Start of Yamhill County,ODE Head Start
4638,Health & Science School,Beaverton SD 48J
421,Hedrick Middle School,Medford SD 549C
1298,Helensview High School,Multnomah ESD
3364,Helix School,Helix SD 1
377,Helman Elementary School,Ashland SD 5
473,Henley Elementary School,Klamath County SD
485,Henley High School,Klamath County SD
481,Henley Middle School,Klamath County SD
342,Henry L Slater Elementary School,Harney County SD 3
815,Heppner Elementary School,Morrow SD 1
818,Heppner Junior/Senior High School,Morrow SD 1
1359,Heritage Elementary,Woodburn SD 103
1040,Hermiston High School,Hermiston SD 8
455,Hidden Valley High School,Three Rivers/Josephine County SD
2294,High Desert ESD EI/ECSE - Deschutes (Area 2),High Desert ESD
2307,High Desert ESD EI/ECSE-Warm Springs Early Childhood Center,High Desert ESD EI/ECSE - Deschutes (Area 2)
1309,High Desert Middle School,Bend-LaPine Administrative SD 1
3218,High Lakes Elementary School,Bend-LaPine Administrative SD 1
436,Highland Elementary School,Grants Pass SD 7
935,Highland Elementary School,Gresham-Barlow SD 10J
309,Highland Elementary School,Reedsport SD 105
743,Highland Elementary School,Salem-Keizer SD 24J
1034,Highland Hills Elementary School,Hermiston SD 8
1184,Highland Park Middle School,Beaverton SD 48J
3219,Highland School at Kenwood Elementary School,Bend-LaPine Administrative SD 1
166,Hilda Lahti Elementary School,Knappa SD 4
204,Hillcrest Elementary School,North Bend SD 13
1201,Hillsboro High School,Hillsboro SD 1J
4973,Hillsboro Online Academy,Hillsboro SD 1J
390,Hillside Elementary,Eagle Point SD 9
355,Hines Middle School,Harney County SD 3
1165,Hiteon Elementary School,Beaverton SD 48J
3543,Hogan Cedars Elementary School,Gresham-Barlow SD 10J
107,Holcomb Elementary School,Oregon City SD 62
664,Holley Elementary School,Sweet Home SD 55
937,Hollydale Elementary School,Gresham-Barlow SD 10J
4157,Holt Elementary School,Eugene SD 4J
2270,Homestead Youth & Family Services,Pendleton SD 16
2804,Hood River County Jail,Hood River County SD
2299,Hood River County SD - EI/ECSE,David Douglas School District EI/ECSE (Area 6)
361,Hood River Middle School,Hood River County SD
369,Hood River Valley High School,Hood River County SD
33,Hoover Elementary School,Corvallis SD 509J
409,Hoover Elementary School,Medford SD 549C
744,Hoover Elementary School,Salem-Keizer SD 24J
4867,Hope Chinese Charter School,Beaverton SD 48J
858,Hosford Middle School,Portland SD 1J
1330,Houck Middle School,Salem-Keizer SD 24J
124,Howard Eccles Elementary School,Canby SD 86
515,Howard Elementary School,Eugene SD 4J
410,Howard Elementary School,Medford SD 549C
1358,Howard Street Charter,Salem-Keizer SD 24J
273,Hucrest Elementary School,Douglas County SD 4
171,Hudson Park Elementary School,Rainier SD 13
327,Humbolt Elementary School,John Day SD 3
3351,Huntington School,Huntington SD 16J
456,Illinois Valley High School,Three Rivers/Josephine County SD
1079,Imbler Charter School,Imbler SD 11
3536,Imlay Elementary School,Hillsboro SD 1J
1084,Imnaha Elementary School,Joseph SD 6
4637,Inavale Community Partners dba Muddy Creek Charter School ,Corvallis SD 509J
998,Independence Elementary School,Central SD 13J
1148,Indian Hills Elementary School,Hillsboro SD 1J
4743,Innovative Learning Center,Hermiston SD 8
5150,Insight School of Oregon-Charter Option,Crook County SD
4474,International School of Beaverton,Beaverton SD 48J
46,Inza R Wood Middle School,West Linn-Wilsonville SD 3J
3363,Ione Community Charter School,Ione SD R2
4048,Irrigon Elementary School,Morrow SD 1
817,Irrigon Junior/Senior High School,Morrow SD 1
585,Irving Elementary School,Bethel SD 52
861,Irvington Elementary School,Portland SD 1J
1355,Isaac Newton Magnet School,Lincoln County SD
1069,Island City Elementary School,La Grande SD 1
1191,J Clyde Hopkins Elementary School,Sherwood SD 88J
1199,J W Poynter Middle School,Hillsboro SD 1J
2805,Jackson County Jail,Medford SD 549C
2836,Jackson County Juvenile,ODE JDEP District
1285,Jackson Elementary School,Hillsboro SD 1J
411,Jackson Elementary School,Medford SD 549C
1277,Jackson Middle School,Portland SD 1J
412,Jacksonville Elementary School,Medford SD 549C
3437,Jacob Wismer Elementary School,Beaverton SD 48J
862,James John Elementary School,Portland SD 1J
1139,James Templeton Elementary School,Tigard-Tualatin SD 23J
4210,Jane Goodall Environmental Middle Charter School,Salem-Keizer SD 24J
908,Janus Youth Programs,Portland SD 1J
2273,Janus Youth Programs--Cordero House,Tigard-Tualatin SD 23J
1792,Jasper Mountain Center,Springfield SD 19
2806,Jefferson County Jail,Jefferson County SD 509J
1773,Jefferson County Middle School,Jefferson County SD 509J
